FID,TANKID,Include,Sex,Diet,P,L,E,P_L,Tank,Family,Wet_wt,Dry_wt,Fat_free_wt,Ashed_wt,Fat,Protein,Pwater,Pfat,Pash,Pprotein,Energy_fat,Energy_protein,Total_energy,P_F,Diff_P_F,Testes_wt,Wt_body,Sperm_y,P_end
MT125,M6S,y,f,5,31.2,19.2,21.5,1.625,M6,f105,0.2956,0.0871,0.0701,0.0175,0.017,0.0526,70.5,19.5,20.12,60.35,0.67,1.25,1.919500632,3.094117647,1.469117647,NA,0.35,n,y
MT149,M7L,y,m,4,33.2,3.9,17.5,8.512820513,M7,f107,0.9828,0.3443,0.24,NA,0.1043,NA,65,30.3,NA,NA,4.13,NA,NA,NA,NA,0.0075,1.1,y,n
MT150,M7M,y,m,4,33.2,3.9,17.5,8.512820513,M7,f105,0.7166,0.218,0.1748,0.0377,0.0432,0.1372,69.6,19.8,17.28,62.92,1.71,3.25,4.96009847,3.175925926,-5.336894587,0.0074,0.82,y,y
MT148,M7S,y,m,4,33.2,3.9,17.5,8.512820513,M7,f106,0.7021,0.2078,0.141,0.0139,0.0668,0.127,70.4,32.1,6.71,61.14,2.65,3.01,5.656536333,1.901197605,-6.611622908,NA,0.78,n,y
MT094,M9S,y,m,2,59.3,13,20.2,4.561538462,M9,f112,0.8574,0.2789,0.2071,0.0517,0.0718,0.1554,67.5,25.8,18.53,55.72,2.84,3.68,6.527554176,2.164345404,-2.397193058,0.0047,0.97,y,y
MT048,N1L,y,f,5,31.2,19.2,21.5,1.625,N1,f105,1.0434,0.347,0.2347,0.0369,0.1123,0.1978,66.7,32.4,10.63,57,4.45,4.69,9.135405257,1.761353517,0.136353517,NA,1.17,n,y
MT046,N1M,y,f,5,31.2,19.2,21.5,1.625,N1,f102,1.0625,0.3771,0.2114,0.0395,0.1657,0.1719,64.5,43.9,10.47,45.6,6.56,4.07,10.63529125,1.037417019,-0.587582981,NA,1.07,n,y
MT047,N1S,y,f,5,31.2,19.2,21.5,1.625,N1,f115,0.8801,0.2793,0.1917,0.0329,0.0876,0.1588,68.3,31.4,11.79,56.85,3.47,3.76,7.231922315,1.812785388,0.187785388,NA,0.99,n,y
MT049,N2L,y,m,4,33.2,3.9,17.5,8.512820513,N2,f115,0.9668,0.2895,0.2423,0.0635,0.0472,0.1788,70.1,16.3,21.94,61.77,1.87,4.24,6.105864117,3.788135593,-4.72468492,0.006,1.1,y,y
MT050,N2S,y,m,4,33.2,3.9,17.5,8.512820513,N2,f107,0.4884,0.1396,0.1199,0.0299,0.0197,0.09,71.4,14.1,21.44,64.47,0.78,2.13,2.911602974,4.568527919,-3.944292594,0.0063,0.58,y,y
MT127,N3L,y,f,3,51.6,20.5,22.2,2.517073171,N3,f107,1.2866,0.4132,0.284,0.0625,0.1292,0.2215,67.9,31.3,15.13,53.62,5.11,5.25,10.36511162,1.714396285,-0.802676886,NA,1.68,n,y
MT129,N3M,y,f,3,51.6,20.5,22.2,2.517073171,N3,f112,1.0374,0.3027,0.2177,0.0641,0.085,0.1535,70.8,28.1,21.19,50.72,3.37,3.64,7.006103139,1.805882353,-0.711190818,NA,0.86,n,y
MT076,N4L,y,m,2,59.3,13,20.2,4.561538462,N4,f107,1.1918,0.398,0.2753,0.0608,0.1227,0.2146,66.6,30.8,15.27,53.91,4.86,5.08,9.942910205,1.748981255,-2.812557207,0.0038,1.27,y,y
MT077,N4M,y,m,2,59.3,13,20.2,4.561538462,N4,f115,1.0542,0.3502,0.2262,0.062,0.124,0.1641,66.8,35.4,17.71,46.87,4.91,3.89,8.802075395,1.323387097,-3.238151365,0.0125,1.16,y,y
MT078,N4S,y,m,2,59.3,13,20.2,4.561538462,N4,f106,0.179,0.0499,0.0394,0.0089,0.0105,0.0305,72.1,21.1,17.85,61.05,0.42,0.72,1.138904239,2.904761905,-1.656776557,NA,0.22,n,y
MT130,N5L,y,f,1,67.5,6.6,19.3,10.22727273,N5,f107,1.1907,0.3928,0.2966,0.0724,0.0962,0.2242,67,24.5,18.43,57.07,3.81,5.31,9.124019117,2.330561331,-7.896711396,NA,1.24,n,y
MT132,N5M,y,f,1,67.5,6.6,19.3,10.22727273,N5,f112,1.2269,0.3642,0.2724,0.0439,0.0918,0.2285,70.3,25.2,12.06,62.73,3.64,5.41,9.050935528,2.489106754,-7.738165973,NA,0.95,n,y
MT131,N5S,y,f,1,67.5,6.6,19.3,10.22727273,N5,f105,0.4435,0.1336,0.1082,0.0185,0.0254,0.0897,69.9,19,13.85,67.11,1.01,2.12,3.1321184,3.531496063,-6.695776664,NA,0.52,n,y
MT112,O10L,y,f,5,31.2,19.2,21.5,1.625,O10,f107,1.2272,0.3944,0.2796,0.0588,0.1148,0.2208,67.9,29.1,14.92,55.98,4.54,5.23,9.777489016,1.923344948,0.298344948,NA,1.34,n,y
MT114,O10S,y,f,5,31.2,19.2,21.5,1.625,O10,f112,0.9079,0.3117,0.2147,0.039,0.097,0.1758,65.7,31.1,12.51,56.39,3.84,4.17,8.004893078,1.812371134,0.187371134,NA,1.02,n,y
MT136,O11L,y,m,5,31.2,19.2,21.5,1.625,O11,f106,1.2493,0.4027,0.2769,0.055,0.1258,0.2219,67.8,31.2,13.66,55.1,4.98,5.26,10.24102803,1.76391097,0.13891097,NA,1.29,n,y
MT137,O11S,y,m,5,31.2,19.2,21.5,1.625,O11,f107,1.045,0.3699,0.2239,0.0368,0.146,0.1871,64.6,39.5,9.95,50.57,5.78,4.43,10.21676339,1.281506849,-0.343493151,NA,NA,n,y
MT117,O12L,y,f,4,33.2,3.9,17.5,8.512820513,O12,f112,1.3273,0.4155,0.3065,0.0753,0.109,0.2312,68.7,26.2,18.12,55.65,4.32,5.48,9.795592749,2.121100917,-6.391719596,NA,1.44,n,y
MT115,O12M,y,f,4,33.2,3.9,17.5,8.512820513,O12,f107,0.8476,0.2452,0.2207,0.0625,0.0245,0.1582,71.1,10,25.51,64.52,0.97,3.75,4.717706282,6.457142857,-2.055677656,0.0063,1.06,y,y
