FID,TANKID,Include,Sex,Diet,P,L,E,P_L,Tank,Family,Wet_wt,Dry_wt,Fat_free_wt,Ashed_wt,Fat,Protein,Pwater,Pfat,Pash,Pprotein,Energy_fat,Energy_protein,Total_energy,P_F,Diff_P_F,Testes_wt,Wt_body,Sperm_y,P_end
MT121,P5L,y,f,5,31.2,19.2,21.5,1.625,P5,f107,1.5781,0.5381,0.3547,0.0721,0.1834,0.2826,65.9,34.1,13.4,52.52,7.26,6.7,13.95990549,1.54089422,-0.08410578,NA,1.63,n,y
MT122,P5M,y,f,5,31.2,19.2,21.5,1.625,P5,f105,0.8231,0.253,0.1832,0.0524,0.0698,0.1308,69.3,27.6,20.7,51.7,2.76,3.1,5.865183541,1.873925501,0.248925501,NA,0.92,n,y
MT123,P5S,y,f,5,31.2,19.2,21.5,1.625,P5,f112,0.7461,0.2291,0.1577,0.0305,0.0714,0.1272,69.3,31.2,13.32,55.5,2.83,3.01,5.84239365,1.781512605,0.156512605,NA,0.8,n,y
MT002,P6L,y,m,5,31.2,19.2,21.5,1.625,P6,f119,1.1146,0.3309,0.2277,0.0376,0.1032,0.1901,70.3,31.2,11.36,57.45,4.09,4.51,8.592122256,1.842054264,0.217054264,0.0082,1.24,y,y
MT001,P6M,y,m,5,31.2,19.2,21.5,1.625,P6,f107,0.8383,0.2986,0.1873,0.0357,0.1113,0.1516,64.4,37.3,11.94,50.78,4.41,3.59,8.001760848,1.362084456,-0.262915544,0.0034,0.92,y,y
MT003,P6S,y,m,5,31.2,19.2,21.5,1.625,P6,f115,0.5922,0.2015,0.1361,0.0233,0.0654,0.1128,66,32.5,11.55,55.99,2.59,2.67,5.263889937,1.724770642,0.099770642,0.0042,0.65,y,y
MT004,P7L,y,f,4,33.2,3.9,17.5,8.512820513,P7,f107,0.8602,0.2349,0.1673,0.0244,0.0676,0.1429,72.7,28.8,10.39,60.83,2.68,3.39,6.06369,2.113905325,-6.398915188,NA,0.93,n,y
MT006,P7M,y,f,4,33.2,3.9,17.5,8.512820513,P7,f115,0.845,0.2166,0.1785,0.0471,0.0381,0.1314,74.4,17.6,21.76,60.65,1.51,3.11,4.622637998,3.448818898,-5.064001615,NA,0.9,n,y
MT005,P7S,y,f,4,33.2,3.9,17.5,8.512820513,P7,f102,0.6258,0.1668,0.1334,0.0224,0.0334,0.1109,73.3,20.1,13.43,66.51,1.32,2.63,3.953888577,3.320359281,-5.192461232,NA,0.71,n,y
MT007,P8L,y,m,3,51.6,20.5,22.2,2.517073171,P8,f107,1.2647,0.4444,0.273,0.0479,0.1714,0.2251,64.9,38.6,10.79,50.64,6.79,5.33,12.12164821,1.313302217,-1.203770954,0.0082,1.39,y,y
MT009,P8M,y,m,3,51.6,20.5,22.2,2.517073171,P8,f115,1.2601,0.4614,0.2803,0.0428,0.1811,0.2375,63.4,39.2,9.28,51.48,7.17,5.63,12.79973897,1.311430149,-1.205643022,0.0039,1.34,y,y
MT008,P8S,y,m,3,51.6,20.5,22.2,2.517073171,P8,f102,0.7818,0.2459,0.173,0.0383,0.0729,0.1347,68.5,29.7,15.57,54.77,2.89,3.19,6.079854647,1.847736626,-0.669336545,0.007,0.88,y,y
MT011,P9L,y,f,2,59.3,13,20.2,4.561538462,P9,f102,1.2808,0.3652,0.2747,0.0618,0.0905,0.213,71.5,24.8,16.91,58.31,3.58,5.05,8.630444017,2.35359116,-2.207947302,NA,1.36,n,y
MT010,P9M,y,f,2,59.3,13,20.2,4.561538462,P9,f107,0.9701,0.2991,0.2356,0.0567,0.0635,0.1789,69.2,21.2,18.94,59.83,2.51,4.24,6.755505266,2.817322835,-1.744215627,NA,1.05,n,y
MT012,P9S,y,f,2,59.3,13,20.2,4.561538462,P9,f115,0.65,0.1936,0.1586,0.0481,0.035,0.1106,70.2,18.1,24.83,57.11,1.38,2.62,4.004897878,3.16,-1.401538462,NA,0.72,n,y
